id,date_new,time_new,calories,total_intensity,average_intensity,steps_total
1503960366,12-04-16,0,81,20,0.333332986,373
1503960366,12-04-16,1,61,8,0.133332998,160
1503960366,12-04-16,2,59,7,0.116667002,151
1503960366,12-04-16,3,47,0,0,0
1503960366,12-04-16,4,48,0,0,0
1503960366,12-04-16,5,48,0,0,0
1503960366,12-04-16,6,48,0,0,0
1503960366,12-04-16,7,47,0,0,0
1503960366,12-04-16,8,68,13,0.216666996,250
1503960366,12-04-16,9,141,30,0.5,1864
1503960366,12-04-16,10,99,29,0.483332992,676
1503960366,12-04-16,11,76,12,0.200000003,360
1503960366,12-04-16,12,73,11,0.183332995,253
1503960366,12-04-16,13,66,6,0.100000001,221
1503960366,12-04-16,14,110,36,0.600000024,1166
1503960366,12-04-16,15,151,58,0.966666996,2063
1503960366,12-04-16,16,76,13,0.216666996,344
1503960366,12-04-16,17,83,16,0.266667008,489
1503960366,12-04-16,18,124,29,0.483332992,1386
1503960366,12-04-16,19,104,39,0.649999976,558
1503960366,12-04-16,20,132,41,0.68333298,1733
1503960366,12-04-16,21,100,31,0.516667008,684
1503960366,12-04-16,22,65,9,0.150000006,89
1503960366,12-04-16,23,81,21,0.349999994,338
1503960366,13-04-16,0,69,14,0.233333007,144
1503960366,13-04-16,1,48,0,0,0
1503960366,13-04-16,2,47,0,0,0
1503960366,13-04-16,3,53,4,0.066666998,36
1503960366,13-04-16,4,47,0,0,0
1503960366,13-04-16,5,47,0,0,0
1503960366,13-04-16,6,48,0,0,0
1503960366,13-04-16,7,59,8,0.133332998,126
1503960366,13-04-16,8,69,12,0.200000003,275
1503960366,13-04-16,9,136,27,0.449999988,1679
1503960366,13-04-16,10,77,15,0.25,295
1503960366,13-04-16,11,84,16,0.266667008,524
1503960366,13-04-16,12,82,15,0.25,486
1503960366,13-04-16,13,72,10,0.166666999,302
1503960366,13-04-16,14,128,46,0.766667008,1577
1503960366,13-04-16,15,79,13,0.216666996,493
1503960366,13-04-16,16,71,10,0.166666999,299
1503960366,13-04-16,17,87,23,0.383332998,695
1503960366,13-04-16,18,118,25,0.416667014,1343
1503960366,13-04-16,19,73,13,0.216666996,258
1503960366,13-04-16,20,47,0,0,0
1503960366,13-04-16,21,48,0,0,0
1503960366,13-04-16,22,74,11,0.183332995,437
1503960366,13-04-16,23,135,56,0.93333298,1766
1503960366,14-04-16,0,56,4,0.066666998,81
1503960366,14-04-16,1,54,3,0.050000001,58
1503960366,14-04-16,2,47,0,0,0
1503960366,14-04-16,3,47,0,0,0
1503960366,14-04-16,4,47,0,0,0
1503960366,14-04-16,5,47,0,0,0
1503960366,14-04-16,6,47,0,0,0
1503960366,14-04-16,7,47,0,0,0
1503960366,14-04-16,8,47,0,0,0
1503960366,14-04-16,9,93,14,0.233333007,902
1503960366,14-04-16,10,109,23,0.383332998,1106
1503960366,14-04-16,11,64,7,0.116667002,50
1503960366,14-04-16,12,85,18,0.300000012,501
1503960366,14-04-16,13,137,54,0.899999976,1779
1503960366,14-04-16,14,113,22,0.366667002,1228
1503960366,14-04-16,15,66,7,0.116667002,139
1503960366,14-04-16,16,88,25,0.416667014,408
1503960366,14-04-16,17,61,5,0.083333001,37
1503960366,14-04-16,18,72,12,0.200000003,322
1503960366,14-04-16,19,55,1,0.016666999,11
1503960366,14-04-16,20,91,24,0.400000006,806
1503960366,14-04-16,21,174,57,0.949999988,2670
1503960366,14-04-16,22,79,17,0.283333004,362
1503960366,14-04-16,23,50,0,0,0
1503960366,15-04-16,0,60,6,0.100000001,83
1503960366,15-04-16,1,58,5,0.083333001,75
1503960366,15-04-16,2,59,7,0.116667002,124
1503960366,15-04-16,3,47,0,0,0
1503960366,15-04-16,4,47,0,0,0
1503960366,15-04-16,5,49,1,0.016666999,26
1503960366,15-04-16,6,47,0,0,0
1503960366,15-04-16,7,49,1,0.016666999,7
1503960366,15-04-16,8,54,5,0.083333001,55
1503960366,15-04-16,9,50,2,0.033333,21
1503960366,15-04-16,10,63,8,0.133332998,154
1503960366,15-04-16,11,84,23,0.383332998,425
1503960366,15-04-16,12,74,13,0.216666996,270
1503960366,15-04-16,13,67,9,0.150000006,373
1503960366,15-04-16,14,47,0,0,0
1503960366,15-04-16,15,47,0,0,0
1503960366,15-04-16,16,47,0,0,0
1503960366,15-04-16,17,140,47,0.783333004,1774
1503960366,15-04-16,18,87,22,0.366667002,509
1503960366,15-04-16,19,97,32,0.533333004,519
1503960366,15-04-16,20,64,8,0.133332998,77
1503960366,15-04-16,21,75,14,0.233333007,280
1503960366,15-04-16,22,151,66,1.100000024,2145
1503960366,15-04-16,23,182,95,1.583333015,2768
1503960366,16-04-16,0,77,15,0.25,459
1503960366,16-04-16,1,48,0,0,0
1503960366,16-04-16,2,52,3,0.050000001,63
1503960366,16-04-16,3,48,1,0.016666999,6
1503960366,16-04-16,4,49,1,0.016666999,6
1503960366,16-04-16,5,49,1,0.016666999,12
1503960366,16-04-16,6,48,0,0,0
1503960366,16-04-16,7,54,4,0.066666998,101
1503960366,16-04-16,8,62,9,0.150000006,175
1503960366,16-04-16,9,124,38,0.633333027,1181
1503960366,16-04-16,10,110,14,0.233333007,1295
1503960366,16-04-16,11,147,30,0.5,2043
1503960366,16-04-16,12,119,42,0.699999988,1513
1503960366,16-04-16,13,214,90,1.5,3616
1503960366,16-04-16,14,82,20,0.333332986,580
1503960366,16-04-16,15,51,0,0,0
1503960366,16-04-16,16,54,2,0.033333,15
1503960366,16-04-16,17,79,17,0.283333004,380
1503960366,16-04-16,18,65,10,0.166666999,96
1503960366,16-04-16,19,67,12,0.200000003,146
1503960366,16-04-16,20,81,19,0.316666991,385
1503960366,16-04-16,21,75,13,0.216666996,463
1503960366,16-04-16,22,55,3,0.050000001,42
1503960366,16-04-16,23,56,5,0.083333001,92
1503960366,17-04-16,0,47,0,0,0
1503960366,17-04-16,1,48,0,0,0
1503960366,17-04-16,2,47,0,0,0
1503960366,17-04-16,3,49,1,0.016666999,8
1503960366,17-04-16,4,48,0,0,0
1503960366,17-04-16,5,48,0,0,0
1503960366,17-04-16,6,48,0,0,0
1503960366,17-04-16,7,48,0,0,0
1503960366,17-04-16,8,48,0,0,0
1503960366,17-04-16,9,48,0,0,0
1503960366,17-04-16,10,47,0,0,0
1503960366,17-04-16,11,63,9,0.150000006,84
1503960366,17-04-16,12,76,18,0.300000012,260
1503960366,17-04-16,13,83,23,0.383332998,402
1503960366,17-04-16,14,69,10,0.166666999,252
1503960366,17-04-16,15,73,13,0.216666996,191
1503960366,17-04-16,16,57,2,0.033333,13
1503960366,17-04-16,17,174,71,1.183333039,2613
1503960366,17-04-16,18,136,39,0.649999976,1616
1503960366,17-04-16,19,95,24,0.400000006,754
1503960366,17-04-16,20,191,87,1.450000048,2955
1503960366,17-04-16,21,79,16,0.266667008,487
1503960366,17-04-16,22,58,5,0.083333001,70
1503960366,17-04-16,23,50,0,0,0
1503960366,18-04-16,0,82,21,0.349999994,416
1503960366,18-04-16,1,48,0,0,0
1503960366,18-04-16,2,47,0,0,0
1503960366,18-04-16,3,47,0,0,0
1503960366,18-04-16,4,47,0,0,0
1503960366,18-04-16,5,47,0,0,0
1503960366,18-04-16,6,47,0,0,0
1503960366,18-04-16,7,47,0,0,0
1503960366,18-04-16,8,47,0,0,0
1503960366,18-04-16,9,133,39,0.649999976,1688
1503960366,18-04-16,10,81,17,0.283333004,380
1503960366,18-04-16,11,73,15,0.25,328
1503960366,18-04-16,12,118,40,0.666666985,1306
1503960366,18-04-16,13,70,9,0.150000006,268
1503960366,18-04-16,14,64,7,0.116667002,137
1503960366,18-04-16,15,80,14,0.233333007,495
1503960366,18-04-16,16,78,17,0.283333004,277
1503960366,18-04-16,17,79,18,0.300000012,304
1503960366,18-04-16,18,234,114,1.899999976,4074
1503960366,18-04-16,19,157,30,0.5,2101
1503960366,18-04-16,20,57,2,0.033333,28
1503960366,18-04-16,21,68,11,0.183332995,187
1503960366,18-04-16,22,86,19,0.316666991,542
1503960366,18-04-16,23,83,18,0.300000012,488
